"UI" "Region" "metr" "RCTs_fill" "RCTs_nogap" "Patients_fill" "Patients_nogap"
"62" "med" "North Africa and Middle East" "daly" 27.9619859373768 5.45010747659857 25.2156576379216 5.1828877519038
"63" "up" "North Africa and Middle East" "daly" 30.5878530433278 7.18273287364714 32.4153453437008 7.15096060464513
"64" "low" "North Africa and Middle East" "death" 50.2670623683312 12.0964520258471 40.5493237572128 11.8334464089793
"65" "med" "North Africa and Middle East" "death" 53.4071974858166 14.2154533433791 45.3586988074805 14.1898481953174
"66" "up" "North Africa and Middle East" "death" 55.7512821585836 16.3048227300116 53.7642801777247 16.5689200306976
"67" "low" "North Africa and Middle East" "yld" 39.1890938097024 6.35576494033541 44.4105080581432 5.94562341106348
"68" "med" "North Africa and Middle East" "yld" 41.1233421670404 8.09004139872164 47.8283588928676 8.08042685810952
"69" "up" "North Africa and Middle East" "yld" 42.9125030255231 9.65875685743134 50.1863571772844 9.69944870185781
"70" "low" "North Africa and Middle East" "yll" 46.7405415210742 11.0691387366044 36.730622906433 7.18854086967233
"71" "med" "North Africa and Middle East" "yll" 49.937828827568 14.130524170778 41.7687100262774 10.9608224355835
"72" "up" "North Africa and Middle East" "yll" 52.2284171195224 16.294194398892 49.9962857591924 15.5997741504956
"73" "low" "South Asia" "daly" 32.8674705312045 8.03062465062327 19.6866215978624 2.93401077842558
"74" "med" "South Asia" "daly" 36.0642994209266 10.9174819283928 28.9752201262788 10.3811744336395
"75" "up" "South Asia" "daly" 38.5186991152365 13.0300974204574 38.3660926042769 20.086586708496
"76" "low" "South Asia" "death" 41.4874472792882 6.39713027601074 23.514689211578 2.15336711138612
"77" "med" "South Asia" "death" 44.8015889760019 9.20811120120762 33.5807698663788 3.6786643702955
"78" "up" "South Asia" "death" 47.5099961732739 11.586448896163 46.36565481588 11.9461587643207
"79" "low" "South Asia" "yld" 39.2824437915042 7.35480066555655 44.7482214916982 5.05783903093506
"80" "med" "South Asia" "yld" 41.574631778067 9.15281513176078 54.0554900238412 10.5774150913456
"81" "up" "South Asia" "yld" 43.8120846433321 10.9479467279168 59.8063042504208 15.8142185631426
"82" "low" "South Asia" "yll" 44.4708028144914 14.2232013826457 27.8069133955494 4.37624817002574
"83" "med" "South Asia" "yll" 47.7208417175322 17.0456196367325 37.6200671508653 14.0194065317678
