"","RCTs","GBD","RCTs_per_MDALYs"
"High.income","67659 (73.8%)","232 (10.4%)",292.2
"North.Africa.and.Middle.East","8683 (9.5%)","102 (4.6%)",84.9
"Central.Europe..Eastern.Europe..and.Central.Asia","6998 (7.6%)","152 (6.8%)",46.2
"Latin.America.and.Caribbean","4766 (5.2%)","116 (5.2%)",41.3
"Southeast.Asia..East.Asia.and.Oceania","9639 (10.5%)","461 (20.8%)",20.9
"South.Asia","4848 (5.3%)","611 (27.5%)",7.9
"Sub.Saharian.Africa","2585 (2.8%)","548 (24.7%)",4.7
